ano,mes,estado,regiao,bioma,focos_calor,area_estimada_ha,risco_fogo_medio
2020,1,Pará,Norte,Amazônia,394,7189.7,0.36
2020,1,Mato Grosso,Centro-Oeste,Amazônia,246,2505.2,0.39
2020,1,Amazonas,Norte,Amazônia,255,2113.5,0.43
2020,1,Tocantins,Norte,Cerrado,162,1712.0,0.33
2020,1,Maranhão,Nordeste,Cerrado,181,2542.5,0.22
2020,1,Acre,Norte,Amazônia,145,1443.2,0.25
2020,1,Rondônia,Norte,Amazônia,121,1740.6,0.26
2020,1,Bahia,Nordeste,Caatinga,96,1459.1,0.42
2020,1,Goiás,Centro-Oeste,Cerrado,124,2046.7,0.38
2020,1,Minas Gerais,Sudeste,Cerrado,135,1264.6,0.44
2020,1,Mato Grosso do Sul,Centro-Oeste,Pantanal,106,1029.1,0.52
2020,1,Piauí,Nordeste,Caatinga,91,1886.5,0.37
2020,1,São Paulo,Sudeste,Mata Atlântica,124,1533.1,0.27
2020,1,Roraima,Norte,Amazônia,135,1429.4,0.46
2020,1,Amapá,Norte,Amazônia,73,674.4,0.38
2020,2,Pará,Norte,Amazônia,254,2996.9,0.23
2020,2,Mato Grosso,Centro-Oeste,Amazônia,242,2887.8,0.44
2020,2,Amazonas,Norte,Amazônia,136,2615.4,0.37
2020,2,Tocantins,Norte,Cerrado,136,1098.5,0.41
2020,2,Maranhão,Nordeste,Cerrado,164,2985.8,0.43
2020,2,Acre,Norte,Amazônia,92,1847.7,0.33
2020,2,Rondônia,Norte,Amazônia,90,800.1,0.45
2020,2,Bahia,Nordeste,Caatinga,74,1347.9,0.26
2020,2,Goiás,Centro-Oeste,Cerrado,135,1972.5,0.38
2020,2,Minas Gerais,Sudeste,Cerrado,138,2573.8,0.31
2020,2,Mato Grosso do Sul,Centro-Oeste,Pantanal,130,1938.7,0.39
2020,2,Piauí,Nordeste,Caatinga,45,376.0,0.42
2020,2,São Paulo,Sudeste,Mata Atlântica,69,1043.3,0.44
2020,2,Roraima,Norte,Amazônia,74,1017.2,0.39
2020,2,Amapá,Norte,Amazônia,47,426.7,0.42
2020,3,Pará,Norte,Amazônia,247,5190.9,0.31
2020,3,Mato Grosso,Centro-Oeste,Amazônia,268,5413.7,0.45
2020,3,Amazonas,Norte,Amazônia,144,2951.4,0.4
2020,3,Tocantins,Norte,Cerrado,180,3698.2,0.37
2020,3,Maranhão,Nordeste,Cerrado,121,1354.1,0.33
2020,3,Acre,Norte,Amazônia,124,2486.2,0.33
2020,3,Rondônia,Norte,Amazônia,116,1605.9,0.34
2020,3,Bahia,Nordeste,Caatinga,80,1018.1,0.33
2020,3,Goiás,Centro-Oeste,Cerrado,106,1617.9,0.39
2020,3,Minas Gerais,Sudeste,Cerrado,101,2182.1,0.47
2020,3,Mato Grosso do Sul,Centro-Oeste,Pantanal,62,743.2,0.35
2020,3,Piauí,Nordeste,Caatinga,82,1233.1,0.32
2020,3,São Paulo,Sudeste,Mata Atlântica,83,832.4,0.38
2020,3,Roraima,Norte,Amazônia,76,865.5,0.35
2020,3,Amapá,Norte,Amazônia,62,702.3,0.41
2020,4,Pará,Norte,Amazônia,265,4465.9,0.47
2020,4,Mato Grosso,Centro-Oeste,Amazônia,291,2695.8,0.53
2020,4,Amazonas,Norte,Amazônia,155,1644.7,0.43
2020,4,Tocantins,Norte,Cerrado,158,2762.8,0.32
2020,4,Maranhão,Nordeste,Cerrado,149,1664.5,0.33
2020,4,Acre,Norte,Amazônia,87,1537.6,0.4
2020,4,Rondônia,Norte,Amazônia,138,1369.7,0.35
2020,4,Bahia,Nordeste,Caatinga,80,1675.7,0.33
2020,4,Goiás,Centro-Oeste,Cerrado,110,1896.4,0.4
2020,4,Minas Gerais,Sudeste,Cerrado,135,2081.0,0.46
2020,4,Mato Grosso do Sul,Centro-Oeste,Pantanal,96,1973.9,0.34
2020,4,Piauí,Nordeste,Caatinga,91,1159.9,0.42
2020,4,São Paulo,Sudeste,Mata Atlântica,114,2343.8,0.29
2020,4,Roraima,Norte,Amazônia,81,1376.1,0.39
2020,4,Amapá,Norte,Amazônia,58,471.5,0.43
2020,5,Pará,Norte,Amazônia,435,3510.8,0.32
2020,5,Mato Grosso,Centro-Oeste,Amazônia,362,6402.5,0.28
2020,5,Amazonas,Norte,Amazônia,178,3198.8,0.43
2020,5,Tocantins,Norte,Cerrado,179,3302.7,0.29
2020,5,Maranhão,Nordeste,Cerrado,233,4009.1,0.41
2020,5,Acre,Norte,Amazônia,122,1604.1,0.39
2020,5,Rondônia,Norte,Amazônia,139,3005.5,0.31
2020,5,Bahia,Nordeste,Caatinga,143,2407.5,0.36
2020,5,Goiás,Centro-Oeste,Cerrado,157,2524.0,0.49
2020,5,Minas Gerais,Sudeste,Cerrado,129,2336.7,0.38
2020,5,Mato Grosso do Sul,Centro-Oeste,Pantanal,110,2328.3,0.42
2020,5,Piauí,Nordeste,Caatinga,113,2433.2,0.44
2020,5,São Paulo,Sudeste,Mata Atlântica,105,2091.2,0.26
2020,5,Roraima,Norte,Amazônia,86,1358.4,0.34
2020,5,Amapá,Norte,Amazônia,76,1214.5,0.41
2020,6,Pará,Norte,Amazônia,592,12941.6,0.34
2020,6,Mato Grosso,Centro-Oeste,Amazônia,488,9898.2,0.32
2020,6,Amazonas,Norte,Amazônia,362,6456.2,0.49
2020,6,Tocantins,Norte,Cerrado,214,4136.8,0.33
2020,6,Maranhão,Nordeste,Cerrado,288,5986.2,0.43
2020,6,Acre,Norte,Amazônia,217,4161.2,0.72
2020,6,Rondônia,Norte,Amazônia,282,5397.8,0.49
2020,6,Bahia,Nordeste,Caatinga,161,2134.6,0.47
2020,6,Goiás,Centro-Oeste,Cerrado,222,1887.7,0.34
2020,6,Minas Gerais,Sudeste,Cerrado,338,4059.9,0.26
2020,6,Mato Grosso do Sul,Centro-Oeste,Pantanal,173,1474.5,0.41
2020,6,Piauí,Nordeste,Caatinga,145,1417.9,0.49
2020,6,São Paulo,Sudeste,Mata Atlântica,218,2402.7,0.42
2020,6,Roraima,Norte,Amazônia,123,1073.0,0.42
2020,6,Amapá,Norte,Amazônia,146,2470.9,0.55
2020,7,Pará,Norte,Amazônia,526,10063.8,0.47
2020,7,Mato Grosso,Centro-Oeste,Amazônia,647,5886.7,0.32
2020,7,Amazonas,Norte,Amazônia,496,6807.8,0.53
2020,7,Tocantins,Norte,Cerrado,389,4474.8,0.43
2020,7,Maranhão,Nordeste,Cerrado,523,9018.0,0.49
2020,7,Acre,Norte,Amazônia,309,5118.3,0.59
2020,7,Rondônia,Norte,Amazônia,240,3116.1,0.42
2020,7,Bahia,Nordeste,Caatinga,237,2220.6,0.61
2020,7,Goiás,Centro-Oeste,Cerrado,131,1365.7,0.37
2020,7,Minas Gerais,Sudeste,Cerrado,222,3690.1,0.35
2020,7,Mato Grosso do Sul,Centro-Oeste,Pantanal,251,3324.4,0.47
2020,7,Piauí,Nordeste,Caatinga,234,4677.9,0.64
2020,7,São Paulo,Sudeste,Mata Atlântica,204,1833.5,0.49
2020,7,Roraima,Norte,Amazônia,199,3224.0,0.46
2020,7,Amapá,Norte,Amazônia,152,2042.0,0.51
2020,8,Pará,Norte,Amazônia,1472,23020.1,0.78
2020,8,Mato Grosso,Centro-Oeste,Amazônia,1369,29374.2,0.66
2020,8,Amazonas,Norte,Amazônia,831,10359.0,0.63
2020,8,Tocantins,Norte,Cerrado,740,7144.2,0.68
2020,8,Maranhão,Nordeste,Cerrado,931,18885.0,0.73
2020,8,Acre,Norte,Amazônia,664,7933.8,0.66
2020,8,Rondônia,Norte,Amazônia,728,14047.3,0.56
2020,8,Bahia,Nordeste,Caatinga,494,6524.9,0.62
2020,8,Goiás,Centro-Oeste,Cerrado,553,11629.9,0.71
2020,8,Minas Gerais,Sudeste,Cerrado,668,12366.1,0.7
2020,8,Mato Grosso do Sul,Centro-Oeste,Pantanal,506,10441.7,0.63
2020,8,Piauí,Nordeste,Caatinga,572,7139.0,0.61
2020,8,São Paulo,Sudeste,Mata Atlântica,475,3872.1,0.68
2020,8,Roraima,Norte,Amazônia,438,9333.1,0.6
